AP810 苹果810
SR001 白砂糖001
SR003 白砂糖003
SR811 白砂糖811
SR901 白砂糖901
SR903 白砂糖903
SR905 白砂糖905
SR907 白砂糖907
SR909 白砂糖909
SR911 白砂糖911
T1812 10年国债1812
T1903 10年国债1903
T1906 10年国债1906
TA810 化纤810
TA811 化纤811
TA812 化纤812
TA901 化纤901
TA902 化纤902
TA903 化纤903
TA904 化纤904
TA905 化纤905
TA906 化纤906
TA907 化纤907
TA908 化纤908
TA909 化纤909
TF1812 5年国债1812
TF1903 5年国债1903
TF1906 5年国债1906
WH811 强筋麦811
WH901 强筋麦901
WH903 强筋麦903
WH905 强筋麦905
WH907 强筋麦907
WH909 强筋麦909
ZC810 动力煤ZC810
ZC811 动力煤ZC811
ZC812 动力煤ZC812
ZC901 动力煤ZC901
ZC902 动力煤ZC902
ZC903 动力煤ZC903
ZC904 动力煤ZC904
ZC905 动力煤ZC905
ZC906 动力煤ZC906
ZC907 动力煤ZC907
ZC908 动力煤ZC908
ZC909 动力煤ZC909
a1811 黄大豆1号1811
a1901 黄大豆1号1901
a1903 黄大豆1号1903
a1905 黄大豆1号1905
a1907 黄大豆1号1907
a1909 黄大豆1号1909
a1911 黄大豆1号1911
a2001 黄大豆1号2001
a2003 黄大豆1号2003
ag1810 白银1810
ag1811 白银1811
ag1812 白银1812
ag1901 白银1901
ag1902 白银1902
ag1903 白银1903
ag1904 白银1904
ag1905 白银1905
ag1906 白银1906
ag1907 白银1907
ag1908 白银1908
ag1909 白银1909
al1810 铝1810
al1811 铝1811
al1812 铝1812
al1901 铝1901
al1902 铝1902
al1903 铝1903
al1904 铝1904
al1905 铝1905
al1906 铝1906
al1907 铝1907
al1908 铝1908
al1909 铝1909
au1810 黄金1810
au1811 黄金1811
au1812 黄金1812
au1902 黄金1902
au1904 黄金1904
au1906 黄金1906
au1908 黄金1908
au1910 黄金1910
b1811 黄大豆2号1811
b1901 黄大豆2号1901
b1903 黄大豆2号1903
b1905 黄大豆2号1905
b1907 黄大豆2号1907
b1909 黄大豆2号1909
bb1810 胶合板1810
bb1811 胶合板1811
bb1812 胶合板1812
bb1901 胶合板1901
bb1902 胶合板1902
bb1903 胶合板1903
bb1904 胶合板1904
bb1905 胶合板1905
bb1906 胶合板1906
bb1907 胶合板1907
bb1908 胶合板1908
bb1909 胶合板1909
bu1810 沥青1810
bu1811 沥青1811
bu1812 沥青1812
bu1901 沥青1901
bu1902 沥青1902
bu1903 沥青1903
bu1906 沥青1906
bu1909 沥青1909
bu1912 沥青1912
bu2003 沥青2003
bu2006 沥青2006
bu2009 沥青2009
c1811 黄玉米1811
c1901 黄玉米1901
c1903 黄玉米1903
c1905 黄玉米1905
c1907 黄玉米1907
c1909 黄玉米1909
cs1811 玉米淀粉1811
cs1901 玉米淀粉1901
cs1903 玉米淀粉1903
cs1905 玉米淀粉1905
cs1907 玉米淀粉1907
cs1909 玉米淀粉1909
cu1810 铜1810
cu1811 铜1811
cu1812 铜1812
cu1901 铜1901
cu1902 铜1902
cu1903 铜1903
cu1904 铜1904
cu1905 铜1905
cu1906 铜1906
cu1907 铜1907
cu1908 铜1908
cu1909 铜1909
fb1810 纤维板1810
fb1811 纤维板1811
fb1812 纤维板1812
fb1901 纤维板1901
fb1902 纤维板1902
fb1903 纤维板1903
fb1904 纤维板1904
fb1905 纤维板1905
fb1906 纤维板1906
fb1907 纤维板1907
fb1908 纤维板1908
fb1909 纤维板1909
fu1810 燃料油1810
fu1811 燃料油1811
fu1812 燃料油1812
fu1901 燃料油1901
fu1902 燃料油1902
fu1903 燃料油1903
fu1904 燃料油1904
fu1905 燃料油1905
fu1906 燃料油1906
fu1907 燃料油1907
fu1908 燃料油1908
fu1909 燃料油1909
hc1810 热轧板1810
hc1811 热轧板1811
hc1812 热轧板1812
hc1901 热轧板1901
hc1902 热轧板1902
hc1903 热轧板1903
hc1904 热轧板1904
hc1905 热轧板1905
hc1906 热轧板1906
hc1907 热轧板1907
hc1908 热轧板1908
hc1909 热轧板1909
i1810 铁矿石1810
i1811 铁矿石1811
i1812 铁矿石1812
i1901 铁矿石1901
i1902 铁矿石1902
i1903 铁矿石1903
i1904 铁矿石1904
i1905 铁矿石1905
i1906 铁矿石1906
i1907 铁矿石1907
i1908 铁矿石1908
i1909 铁矿石1909
j1810 焦炭1810
j1811 焦炭1811
j1812 焦炭1812
j1901 焦炭1901
j1902 焦炭1902
j1903 焦炭1903
j1904 焦炭1904
j1905 焦炭1905
j1906 焦炭1906
j1907 焦炭1907
j1908 焦炭1908
j1909 焦炭1909
jd1809 鲜鸡蛋1809
jd1810 鲜鸡蛋1810
jd1811 鲜鸡蛋1811
jd1812 鲜鸡蛋1812
jd1901 鲜鸡蛋1901
jd1902 鲜鸡蛋1902
jd1903 鲜鸡蛋1903
jd1904 鲜鸡蛋1904
jd1905 鲜鸡蛋1905
jd1906 鲜鸡蛋1906
jd1907 鲜鸡蛋1907
jd1908 鲜鸡蛋1908
jm1810 焦煤1810
jm1811 焦煤1811
jm1812 焦煤1812
jm1901 焦煤1901
jm1902 焦煤1902
jm1903 焦煤1903
jm1904 焦煤1904
jm1905 焦煤1905
jm1906 焦煤1906
jm1907 焦煤1907
jm1908 焦煤1908
jm1909 焦煤1909
l1810 聚乙烯1810
l1811 聚乙烯1811
l1812 聚乙烯1812
l1901 聚乙烯1901
l1902 聚乙烯1902
l1903 聚乙烯1903
l1904 聚乙烯1904
l1905 聚乙烯1905
l1906 聚乙烯1906
l1907 聚乙烯1907
l1908 聚乙烯1908
l1909 聚乙烯1909
m1811 豆粕1811
m1812 豆粕1812
m1901 豆粕1901
m1903 豆粕1903
m1905 豆粕1905
m1907 豆粕1907
m1908 豆粕1908
m1909 豆粕1909
ni1810 镍1810
ni1811 镍1811
ni1812 镍1812
ni1901 镍1901
ni1902 镍1902
ni1903 镍1903
ni1904 镍1904
ni1905 镍1905
ni1906 镍1906
ni1907 镍1907
ni1908 镍1908
ni1909 镍1909
p1810 棕榈油1810
p1811 棕榈油1811
p1812 棕榈油1812
p1901 棕榈油1901
p1902 棕榈油1902
p1903 棕榈油1903
p1904 棕榈油1904
p1905 棕榈油1905
p1906 棕榈油1906
p1907 棕榈油1907
p1908 棕榈油1908
p1909 棕榈油1909
pb1810 铅1810
pb1811 铅1811
pb1812 铅1812
pb1901 铅1901
pb1902 铅1902
pb1903 铅1903
pb1904 铅1904
pb1905 铅1905
pb1906 铅1906
pb1907 铅1907
pb1908 铅1908
pb1909 铅1909
pp1810 聚丙烯1810
pp1811 聚丙烯1811
pp1812 聚丙烯1812
pp1901 聚丙烯1901
pp1902 聚丙烯1902
pp1903 聚丙烯1903
pp1904 聚丙烯1904
pp1905 聚丙烯1905
pp1906 聚丙烯1906
pp1907 聚丙烯1907
pp1908 聚丙烯1908
pp1909 聚丙烯1909
rb1810 螺纹钢1810
rb1811 螺纹钢1811
rb1812 螺纹钢1812
rb1901 螺纹钢1901
rb1902 螺纹钢1902
rb1903 螺纹钢1903
rb1904 螺纹钢1904
rb1905 螺纹钢1905
rb1906 螺纹钢1906
rb1907 螺纹钢1907
rb1908 螺纹钢1908
rb1909 螺纹钢1909
ru1810 天然橡胶1810
ru1811 天然橡胶1811
ru1901 天然橡胶1901
ru1903 天然橡胶1903
ru1904 天然橡胶1904
ru1905 天然橡胶1905
ru1906 天然橡胶1906
ru1907 天然橡胶1907
ru1908 天然橡胶1908
ru1909 天然橡胶1909
sc1810 原油1810
sc1811 原油1811
sc1812 原油1812
sc1901 原油1901
sc1902 原油1902
sc1903 原油1903
sc1904 原油1904
sc1905 原油1905
sc1906 原油1906
sc1907 原油1907
sc1908 原油1908
sc1909 原油1909
sc1912 原油1912
sc2003 原油2003
sc2006 原油2006
sc2009 原油2009
sc2012 原油2012
sc2103 原油2103
sc2106 原油2106
sc2109 原油2109
sn1810 锡1810
sn1811 锡1811
sn1812 锡1812
sn1901 锡1901
sn1902 锡1902
sn1903 锡1903
sn1904 锡1904
sn1905 锡1905
sn1906 锡1906
sn1907 锡1907
sn1908 锡1908
sn1909 锡1909
v1810 聚氯乙烯1810
v1811 聚氯乙烯1811
v1812 聚氯乙烯1812
v1901 聚氯乙烯1901
v1902 聚氯乙烯1902
v1903 聚氯乙烯1903
v1904 聚氯乙烯1904
v1905 聚氯乙烯1905
v1906 聚氯乙烯1906
v1907 聚氯乙烯1907
v1908 聚氯乙烯1908
v1909 聚氯乙烯1909
wr1810 线材1810
wr1811 线材1811
wr1812 线材1812
wr1901 线材1901
wr1902 线材1902
wr1903 线材1903
wr1904 线材1904
wr1905 线材1905
wr1906 线材1906
wr1907 线材1907
wr1908 线材1908
wr1909 线材1909
y1811 豆油1811
y1812 豆油1812
y1901 豆油1901
y1903 豆油1903
y1905 豆油1905
y1907 豆油1907
y1908 豆油1908
y1909 豆油1909
zn1810 锌1810
zn1811 锌1811
zn1812 锌1812
zn1901 锌1901
zn1902 锌1902
zn1903 锌1903
zn1904 锌1904
zn1905 锌1905
zn1906 锌1906
zn1907 锌1907
zn1908 锌1908
zn1909 锌1909
